GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sample-app-kickstart,pl.piomin.samples.spring.graphql.resolver,EmployeeQueryResolver,52,50,8,4,6,13,10,6,4,6
sample-app-kickstart,pl.piomin.samples.spring.graphql.resolver,EmployeeMutableResolver,0,51,0,0,0,9,0,2,0,2
sample-app-kickstart,pl.piomin.samples.spring.graphql.resolver,DepartmentQueryResolver,65,62,10,6,13,14,12,5,4,5
sample-app-kickstart,pl.piomin.samples.spring.graphql.resolver,DepartmentMutableResolver,0,30,0,0,0,6,0,2,0,2
sample-app-kickstart,pl.piomin.samples.spring.graphql.resolver,OrganizationQueryResolver,0,17,0,0,0,5,0,3,0,3
sample-app-kickstart,pl.piomin.samples.spring.graphql.resolver,OrganizationMutableResolver,0,19,0,0,0,4,0,2,0,2
sample-app-kickstart,pl.piomin.samples.spring.graphql.domain,EmployeeInput,142,52,20,0,20,23,14,15,4,15
sample-app-kickstart,pl.piomin.samples.spring.graphql.domain,Department,60,24,6,0,16,10,12,4,9,4
sample-app-kickstart,pl.piomin.samples.spring.graphql.domain,Organization,60,24,6,0,16,10,12,4,9,4
sample-app-kickstart,pl.piomin.samples.spring.graphql.domain,OrganizationInput,42,10,6,0,9,5,7,3,4,3
sample-app-kickstart,pl.piomin.samples.spring.graphql.domain,DepartmentInput,62,17,10,0,11,8,9,5,4,5
sample-app-kickstart,pl.piomin.samples.spring.graphql.domain,Employee,90,42,6,0,26,16,18,6,15,6
sample-app-kickstart,pl.piomin.samples.spring.graphql,SampleSpringBootGraphQLKickstartApp,5,3,0,0,2,1,1,1,1,1
sample-app-kickstart,pl.piomin.samples.spring.graphql.filter,FilterField,132,30,20,1,25,9,20,4,6,4
sample-app-kickstart,pl.piomin.samples.spring.graphql.filter,EmployeeFilter,89,16,12,0,17,7,12,5,6,5
