GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sample-app-spring-graphql,pl.piomin.sample.spring.graphql.filter,EmployeeFilter,89,16,12,0,17,7,12,5,6,5
sample-app-spring-graphql,pl.piomin.sample.spring.graphql.filter,FilterField,132,30,20,1,25,9,20,4,6,4
sample-app-spring-graphql,pl.piomin.sample.spring.graphql.resolver,DepartmentController,47,108,10,6,8,23,10,8,2,8
sample-app-spring-graphql,pl.piomin.sample.spring.graphql.resolver,EmployeeController,52,95,8,4,6,19,10,7,4,7
sample-app-spring-graphql,pl.piomin.sample.spring.graphql.resolver,OrganizationController,18,73,2,2,5,16,4,8,2,8
sample-app-spring-graphql,pl.piomin.sample.spring.graphql,SampleSpringBootGraphQL,5,3,0,0,2,1,1,1,1,1
sample-app-spring-graphql,pl.piomin.sample.spring.graphql.domain,Organization,57,27,6,0,15,11,11,5,8,5
sample-app-spring-graphql,pl.piomin.sample.spring.graphql.domain,Employee,90,42,6,0,26,16,18,6,15,6
sample-app-spring-graphql,pl.piomin.sample.spring.graphql.domain,EmployeeInput,142,52,20,0,20,23,14,15,4,15
sample-app-spring-graphql,pl.piomin.sample.spring.graphql.domain,OrganizationInput,42,10,6,0,9,5,7,3,4,3
sample-app-spring-graphql,pl.piomin.sample.spring.graphql.domain,DepartmentInput,62,17,10,0,11,8,9,5,4,5
sample-app-spring-graphql,pl.piomin.sample.spring.graphql.domain,Department,48,36,6,0,14,12,10,6,7,6
